Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,08.01.2022 05:00 - 08.01.2022 06:00 (CET/CEST),0,1195,5711,1124,0,630
BZN|SE3,08.01.2022 06:00 - 08.01.2022 07:00 (CET/CEST),0,1346,5731,1119,0,593
BZN|SE3,08.01.2022 07:00 - 08.01.2022 08:00 (CET/CEST),0,1383,5731,1119,0,550
BZN|SE3,08.01.2022 08:00 - 08.01.2022 09:00 (CET/CEST),0,1488,5731,1130,0,514
BZN|SE3,08.01.2022 09:00 - 08.01.2022 10:00 (CET/CEST),0,1515,5737,1133,1,452
BZN|SE3,08.01.2022 10:00 - 08.01.2022 11:00 (CET/CEST),0,1521,5758,1120,2,427
BZN|SE3,08.01.2022 11:00 - 08.01.2022 12:00 (CET/CEST),0,1521,5757,1122,4,368
BZN|SE3,08.01.2022 12:00 - 08.01.2022 13:00 (CET/CEST),0,1516,5759,1121,4,298
BZN|SE3,08.01.2022 13:00 - 08.01.2022 14:00 (CET/CEST),0,1517,5765,1122,3,244
BZN|SE3,08.01.2022 14:00 - 08.01.2022 15:00 (CET/CEST),0,1518,5784,1125,1,208
BZN|SE3,08.01.2022 15:00 - 08.01.2022 16:00 (CET/CEST),0,1520,5785,1124,0,211
BZN|SE3,08.01.2022 16:00 - 08.01.2022 17:00 (CET/CEST),0,1521,5785,1123,0,219
BZN|SE3,08.01.2022 17:00 - 08.01.2022 18:00 (CET/CEST),0,1514,5791,1116,0,206
BZN|SE3,08.01.2022 18:00 - 08.01.2022 19:00 (CET/CEST),0,1512,5792,1113,0,191
BZN|SE3,08.01.2022 19:00 - 08.01.2022 20:00 (CET/CEST),0,1438,5793,1121,0,197
BZN|SE3,08.01.2022 20:00 - 08.01.2022 21:00 (CET/CEST),0,1197,5812,1084,0,196
BZN|SE3,08.01.2022 21:00 - 08.01.2022 22:00 (CET/CEST),0,1006,5822,1073,0,209
BZN|SE3,08.01.2022 22:00 - 08.01.2022 23:00 (CET/CEST),0,953,5832,1044,0,225
BZN|SE3,08.01.2022 23:00 - 09.01.2022 00:00 (CET/CEST),0,898,5832,1023,0,245
BZN|SE3,09.01.2022 00:00 - 09.01.2022 01:00 (CET/CEST),0,877,5833,1001,0,310
BZN|SE3,09.01.2022 01:00 - 09.01.2022 02:00 (CET/CEST),0,862,5832,986,0,344
BZN|SE3,09.01.2022 02:00 - 09.01.2022 03:00 (CET/CEST),0,954,5831,985,0,375
BZN|SE3,09.01.2022 03:00 - 09.01.2022 04:00 (CET/CEST),0,861,5832,990,0,414
BZN|SE3,09.01.2022 04:00 - 09.01.2022 05:00 (CET/CEST),0,864,5833,995,0,468
BZN|SE3,09.01.2022 05:00 - 09.01.2022 06:00 (CET/CEST),0,962,5832,1020,0,522
BZN|SE3,09.01.2022 06:00 - 09.01.2022 07:00 (CET/CEST),0,967,5832,1032,0,545
BZN|SE3,09.01.2022 07:00 - 09.01.2022 08:00 (CET/CEST),0,1100,5833,1059,0,601
BZN|SE3,09.01.2022 08:00 - 09.01.2022 09:00 (CET/CEST),0,1174,5832,1082,0,671
BZN|SE3,09.01.2022 09:00 - 09.01.2022 10:00 (CET/CEST),0,1313,5832,1111,0,718
BZN|SE3,09.01.2022 10:00 - 09.01.2022 11:00 (CET/CEST),0,1394,5832,1124,2,757
BZN|SE3,09.01.2022 11:00 - 09.01.2022 12:00 (CET/CEST),0,1434,5831,1124,4,810
BZN|SE3,09.01.2022 12:00 - 09.01.2022 13:00 (CET/CEST),0,1458,5831,1131,4,842
BZN|SE3,09.01.2022 13:00 - 09.01.2022 14:00 (CET/CEST),0,1462,5831,1161,3,894
BZN|SE3,09.01.2022 14:00 - 09.01.2022 15:00 (CET/CEST),0,1466,5830,1167,1,982
BZN|SE3,09.01.2022 15:00 - 09.01.2022 16:00 (CET/CEST),0,1478,5832,1166,0,1065
BZN|SE3,09.01.2022 16:00 - 09.01.2022 17:00 (CET/CEST),0,1500,5832,1171,0,1121
BZN|SE3,09.01.2022 17:00 - 09.01.2022 18:00 (CET/CEST),0,1501,5831,1176,0,1193
BZN|SE3,09.01.2022 18:00 - 09.01.2022 19:00 (CET/CEST),0,1499,5831,1180,0,1181
